 ,Label,Area,Mean,Min,Max
1,711_D6_2.tif:711_D6_2_green,4919,31645.709,8188,58026
2,711_D6_2.tif:711_D6_2_green,8651,39050.128,3767,65535
3,711_D6_2.tif:711_D6_2_green,6985,24884.167,2710,51476
4,711_D6_2.tif:711_D6_2_green,8686,36991.615,5680,65535
5,711_D6_2.tif:711_D6_2_green,8888,28689.336,5305,65535
6,711_D6_2.tif:711_D6_2_green,7959,34979.371,3416,65535
7,711_D6_2.tif:711_D6_2_green,8053,42676.101,7509,65535
8,711_D6_2.tif:711_D6_2_green,7221,19698.360,1703,43706
9,711_D6_2.tif:711_D6_2_green,8756,21037.292,2604,65535
10,711_D6_2.tif:711_D6_2_green,7724,27660.682,3418,65535
11,711_D6_2.tif:711_D6_2_green,7664,36759.324,588,65535
12,711_D6_2.tif:711_D6_2_green,8518,38871.875,5830,65535
13,711_D6_2.tif:711_D6_2_green,7144,37941.665,5012,65535
14,711_D6_2.tif:711_D6_2_green,7336,7888.999,453,28253
15,711_D6_2.tif:711_D6_2_green,6078,45776.334,2303,65535
16,711_D6_2.tif:711_D6_2_green,2028,33122.355,4924,61278
17,711_D6_2.tif:711_D6_2_green,2208,19997.374,2372,45593
18,711_D6_1.tif:711_D6_1_green,9585,8625.736,359,23751
19,711_D6_1.tif:711_D6_1_green,7602,37298.822,5017,65535
20,711_D6_1.tif:711_D6_1_green,8809,30481.028,0,65535
21,711_D6_1.tif:711_D6_1_green,5181,14518.655,2745,27609
22,711_D6_1.tif:711_D6_1_green,9262,18370.432,1067,65535
23,711_D6_1.tif:711_D6_1_green,7101,36457.746,3330,65535
24,711_D6_1.tif:711_D6_1_green,5051,13776.702,1479,34757
25,711_D6_1.tif:711_D6_1_green,7701,36834.762,6196,65535
26,711_D6_1.tif:711_D6_1_green,7225,42133.925,4327,65535
27,711_D6_1.tif:711_D6_1_green,8951,17840.105,3011,43241
28,711_D6_1.tif:711_D6_1_green,9046,33663.203,3280,65535
29,711_D6_1.tif:711_D6_1_green,7873,29280.835,1575,65535
30,711_D6_1.tif:711_D6_1_green,9441,11749.234,164,40957
31,711_D6_1.tif:711_D6_1_green,6806,33481.341,4126,65535
32,783_A5_1.tif:783_A5_1_green,5731,24769.239,0,65535
33,783_A5_1.tif:783_A5_1_green,8696,14917.462,0,64695
34,783_A5_1.tif:783_A5_1_green,7201,19636.355,0,65535
35,783_A5_1.tif:783_A5_1_green,6890,18183.800,0,62432
36,783_A5_1.tif:783_A5_1_green,6563,10940.708,0,51111
37,783_A5_1.tif:783_A5_1_green,6840,9494.170,0,46316
38,783_A5_1.tif:783_A5_1_green,7881,16768.940,0,56121
39,783_A5_1.tif:783_A5_1_green,8062,15764.291,0,57161
40,783_A5_1.tif:783_A5_1_green,6612,18508.422,0,65535
41,783_A5_1.tif:783_A5_1_green,6660,15248.167,0,55968
42,783_A5_1.tif:783_A5_1_green,8249,16398.086,0,65535
43,783_A5_1.tif:783_A5_1_green,6916,14197.522,0,51139
44,783_A5_1.tif:783_A5_1_green,2737,22334.266,18,54383
45,783_A5_1.tif:783_A5_1_green,5943,294.288,0,3971
46,783_A5_1.tif:783_A5_1_green,6719,12632.931,1101,40993
47,783_A5_1.tif:783_A5_1_green,4756,16946.638,0,65535
48,551_C10_1.tif:551_C10_1_green,1643,24747.721,0,65192
49,551_C10_1.tif:551_C10_1_green,7435,14740.985,0,59400
50,551_C10_1.tif:551_C10_1_green,9307,16610.265,0,60808
51,551_C10_1.tif:551_C10_1_green,7013,16361.410,0,64274
52,551_C10_1.tif:551_C10_1_green,10134,19969.397,38,65535
53,551_C10_1.tif:551_C10_1_green,7550,8487.775,0,41881
54,551_C10_1.tif:551_C10_1_green,8457,19037.715,0,65535
55,551_C10_1.tif:551_C10_1_green,9727,20233.489,0,65535
56,551_C10_1.tif:551_C10_1_green,8970,21140.901,0,65535
57,551_C10_1.tif:551_C10_1_green,7032,24383.538,255,65535
58,551_C10_1.tif:551_C10_1_green,6481,31710.815,0,65535
59,783_A5_2.tif:783_A5_2_green,5427,12951.356,0,42323
60,783_A5_2.tif:783_A5_2_green,7924,6862.008,0,31641
61,783_A5_2.tif:783_A5_2_green,1926,20035.003,319,57320
62,783_A5_2.tif:783_A5_2_green,8569,11763.884,0,54889
63,783_A5_2.tif:783_A5_2_green,8561,13311.611,0,47115
64,783_A5_2.tif:783_A5_2_green,7684,10919.108,0,42325
65,783_A5_2.tif:783_A5_2_green,8199,17336.769,0,65535
66,783_A5_2.tif:783_A5_2_green,8796,17927.740,0,65535
67,783_A5_2.tif:783_A5_2_green,8527,14903.728,0,63475
68,783_A5_2.tif:783_A5_2_green,7720,20781.818,0,65535
69,783_A5_2.tif:783_A5_2_green,8542,13456.073,0,57405
70,783_A5_2.tif:783_A5_2_green,7731,15109.085,0,51254
71,783_A5_2.tif:783_A5_2_green,7564,13510.253,0,55515
72,783_A5_2.tif:783_A5_2_green,7009,15649.474,0,59261
73,783_A5_2.tif:783_A5_2_green,6710,13989.980,0,57434
74,783_A5_2.tif:783_A5_2_green,8223,14412.112,0,62465
75,783_A5_2.tif:783_A5_2_green,3956,18392.461,0,59852
76,931_H7_2.tif:931_H7_2_green,6018,45857.361,1979,65535
77,931_H7_2.tif:931_H7_2_green,8755,37526.908,1477,65535
78,931_H7_2.tif:931_H7_2_green,7257,49714.626,7331,65535
79,931_H7_2.tif:931_H7_2_green,6244,19444.399,259,65535
80,931_H7_2.tif:931_H7_2_green,7211,46198.000,5100,65535
81,931_H7_2.tif:931_H7_2_green,7345,47914.781,6645,65535
82,931_H7_2.tif:931_H7_2_green,7350,55712.182,9098,65535
83,931_H7_2.tif:931_H7_2_green,7326,47604.929,5884,65535
84,931_H7_2.tif:931_H7_2_green,7082,50123.637,3063,65535
85,931_H7_2.tif:931_H7_2_green,3416,31572.582,1957,65535
